entry_ts,exit_ts,path,side,entry,exit,sl0,tp0,lot,reason,regime,bars,pnl,risk_usd,r,max_fav_pct,stage,balance,rr,mfe_pts,mae_pts,pts,stop_pts,mins,month
2022-03-07 08:20:00+00:00,2022-03-08 15:10:00+00:00,HTF,buy,1997.208,2048.358,1960.476652386088,2052.305021420868,0.02,stop_gap,WEAK,358,102.3000000000002,73.46269522782404,1.3925435172606355,120.13353588462918,trail,1102.3000000000002,1.5,66.19000000000005,36.330000000000155,51.15000000000009,36.73134761391202,1850.0,2022-03
2022-03-08 16:15:00+00:00,2022-03-09 14:05:00+00:00,HTF,buy,2059.048,1979.2155755250426,1979.4155755250426,2178.4966367124352,0.02,stop_loss,WEAK,250,-159.66484894991436,159.26484894991427,-1.0025115397568103,9.468504883172892,raw,942.6351510500858,1.5,11.3100000000004,83.03999999999974,-79.83242447495718,79.63242447495713,1310.0,2022-03
2022-03-09 17:15:00+00:00,2022-03-15 15:50:00+00:00,HTF,sell,1993.348,1922.3828603930913,2023.8177207861822,1917.1736980345443,0.02,stop_loss,STRONG,1099,141.93027921381736,60.93944157236456,2.3290380671650484,113.42407842369389,trail,1084.5654302639032,2.5,86.39999999999986,15.713999999999942,70.96513960690868,30.46972078618228,8555.0,2022-03
2022-03-16 13:20:00+00:00,2022-03-16 14:40:00+00:00,HTF,sell,1917.648,1915.1970533842828,1935.3209774381146,1891.1385338428279,0.02,stop_loss,WEAK,16,4.901893231434315,35.34595487622937,0.13868328776515537,51.868264409692735,locked,1089.4673234953375,1.5,13.75,2.1950000000001637,2.4509466157171573,17.672977438114685,80.0,2022-03
2022-03-18 16:40:00+00:00,2022-03-23 08:55:00+00:00,HTF,sell,1928.6879999999999,1926.1913966154416,1946.6653558970556,1901.7219661544164,0.02,stop_loss,WEAK,735,4.9932067691165685,35.95471179411152,0.13887489344120763,67.41814574625457,locked,1094.460530264454,1.5,18.179999999999836,12.480000000000018,2.4966033845582842,17.97735589705576,6735.0,2022-03
2022-03-23 16:50:00+00:00,2022-03-24 15:30:00+00:00,HTF,buy,1934.573,1958.6191861246007,1914.110287082002,1965.2670693769971,0.02,stop_loss,WEAK,260,48.09237224920116,40.925425835996066,1.175122097493275,101.30621527591653,trail,1142.5529025136552,1.5,31.0949999999998,0.7300000000000182,24.04618612460058,20.462712917998033,1360.0,2022-03
2022-03-24 16:25:00+00:00,2022-03-28 07:25:00+00:00,HTF,buy,1965.458,1932.1551968738665,1932.3551968738666,2015.1122046892003,0.02,stop_loss,WEAK,444,-66.60560625226708,66.20560625226699,-1.0060417844143885,0.39271598693503734,raw,1075.9472962613881,1.5,0.19499999999993634,33.92000000000007,-33.30280312613354,33.102803126133495,5220.0,2022-03
2022-03-29 09:05:00+00:00,2022-03-31 13:30:00+00:00,HTF,sell,1910.4679999999998,1940.6154029252098,1940.4154029252097,1865.546895612185,0.02,stop_loss,WEAK,605,-60.29480585041983,59.89480585041974,-1.0066783754337403,45.56878170954406,raw,1015.6524904109683,1.5,20.4699999999998,30.04000000000019,-30.147402925209917,29.94740292520987,3145.0,2022-03
2022-03-31 17:30:00+00:00,2022-04-01 14:30:00+00:00,HTF,buy,1947.978,1918.9087049436894,1919.1087049436894,1991.281942584466,0.02,stop_loss,WEAK,240,-58.138590112621394,57.7385901126213,-1.0069277756734252,1.0968978149585453,raw,957.5139002983469,1.5,0.47499999999990905,29.347999999999956,-29.069295056310693,28.869295056310648,1260.0,2022-03
2022-04-11 08:10:00+00:00,2022-04-11 12:40:00+00:00,HTF,buy,1948.958,1964.622416574406,1933.1727219146871,1972.6359171279696,0.02,stop_loss,WEAK,54,31.32883314881201,31.57055617062588,0.9923434031219641,87.00089576572668,trail,988.8427334471589,1.5,20.59999999999991,0.9460000000001401,15.664416574406005,15.785278085312939,270.0,2022-04
